Description:           Daily Index of EDGAR Dissemination Feed
Last Data Received:    Dec 13, 2019
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
CIK|Company Name|Form Type|Date Filed|File Name
--------------------------------------------------------------------------------
1000275|ROYAL BANK OF CANADA|10-D|20191213|edgar/data/1000275/0001214659-19-007722.txt
1000275|ROYAL BANK OF CANADA|424B2|20191213|edgar/data/1000275/0001140361-19-022538.txt
1000351|LEUTHOLD FUNDS INC|N-CEN|20191213|edgar/data/1000351/0001145549-19-050935.txt
1001082|DISH Network CORP|8-K|20191213|edgar/data/1001082/0001104659-19-072622.txt
1001082|DISH Network CORP|CT ORDER|20191213|edgar/data/1001082/9999999997-19-007880.txt
1001082|DISH Network CORP|SC 13D/A|20191213|edgar/data/1001082/0001104659-19-072624.txt
100122|TUCSON ELECTRIC POWER CO|8-K|20191213|edgar/data/100122/0000100122-19-000031.txt
1004980|PG&E Corp|8-K/A|20191213|edgar/data/1004980/0000950157-19-001406.txt
1004980|PG&E Corp|8-K|20191213|edgar/data/1004980/0000950157-19-001410.txt
1005020|VIRTUS OPPORTUNITIES TRUST|N-CEN|20191213|edgar/data/1005020/0001145549-19-050908.txt
1005790|LEBOW BENNETT S|4|20191213|edgar/data/1005790/0000899243-19-029179.txt
1006028|PURE BIOSCIENCE, INC.|10-Q|20191213|edgar/data/1006028/0001493152-19-019180.txt
1006028|PURE BIOSCIENCE, INC.|8-K|20191213|edgar/data/1006028/0001493152-19-019179.txt
1006373|DEUTSCHE DWS INVESTMENTS VIT FUNDS|40-17G|20191213|edgar/data/1006373/0000088053-19-001213.txt
1006415|HARTFORD MUTUAL FUNDS INC/CT|485APOS|20191213|edgar/data/1006415/0001104659-19-072452.txt
1006415|HARTFORD MUTUAL FUNDS INC/CT|485APOS|20191213|edgar/data/1006415/0001104659-19-072452.txt
1007587|KVH INDUSTRIES INC \DE\|4|20191213|edgar/data/1007587/0001707812-19-000010.txt
1007587|KVH INDUSTRIES INC \DE\|4|20191213|edgar/data/1007587/0001759758-19-000011.txt
1008086|PARSONS RICHARD D|4|20191213|edgar/data/1008086/0001209191-19-060428.txt
1008586|STREAMLINE HEALTH SOLUTIONS INC.|SC 13D|20191213|edgar/data/1008586/0001095449-19-000073.txt
1009672|CARBO CERAMICS INC|8-K|20191213|edgar/data/1009672/0001564590-19-045962.txt
